Participant,Practice,Block,Trial,A,B
3,false,3,8,W2,25
3,false,3,9,W1W2,25
3,false,3,10,W2,25
3,false,3,11,W1W2,25
3,false,4,0,W1,9
3,false,4,1,W2,9
3,false,4,2,W1,9
3,false,4,3,W1W2,9
3,false,4,4,W1,9
3,false,4,5,W1W2,9
3,false,4,6,W1W2,9
3,false,4,7,W2,9
3,false,4,8,W2,9
3,false,4,9,W1,9
3,false,4,10,W1W2,9
3,false,4,11,W2,9
4,false,1,0,W1,4
4,false,1,1,W1W2,4
4,false,1,2,W1W2,4
4,false,1,3,W1W2,4
4,false,1,4,W1,4
4,false,1,5,W2,4
4,false,1,6,W2,4
4,false,1,7,W2,4
4,false,1,8,W1,4
4,false,1,9,W2,4
4,false,1,10,W1,4
4,false,1,11,W1W2,4
4,false,2,0,W2,9
4,false,2,1,W1,9
4,false,2,2,W1W2,9
4,false,2,3,W1,9
4,false,2,4,W2,9
4,false,2,5,W2,9
4,false,2,6,W1,9
4,false,2,7,W2,9
4,false,2,8,W1W2,9
4,false,2,9,W1,9
4,false,2,10,W1W2,9
4,false,2,11,W1W2,9
4,false,3,0,W2,25
4,false,3,1,W2,25
4,false,3,2,W1,25
4,false,3,3,W2,25
4,false,3,4,W1W2,25
4,false,3,5,W2,25
4,false,3,6,W1,25
4,false,3,7,W1W2,25
4,false,3,8,W1W2,25
4,false,3,9,W1,25
4,false,3,10,W1,25
4,false,3,11,W1W2,25
4,false,4,0,W1,16
4,false,4,1,W2,16
4,false,4,2,W2,16
4,false,4,3,W2,16
4,false,4,4,W1,16
4,false,4,5,W1,16
4,false,4,6,W1W2,16
4,false,4,7,W1W2,16
4,false,4,8,W1,16
4,false,4,9,W1W2,16
4,false,4,10,W2,16
4,false,4,11,W1W2,16
5,false,1,0,W1W2,9
5,false,1,1,W2,9
5,false,1,2,W2,9
5,false,1,3,W2,9
5,false,1,4,W1,9
5,false,1,5,W1,9
5,false,1,6,W1W2,9
5,false,1,7,W2,9
5,false,1,8,W1W2,9
5,false,1,9,W1W2,9
5,false,1,10,W1,9
5,false,1,11,W1,9
5,false,2,0,W1,4
5,false,2,1,W2,4
5,false,2,2,W1W2,4
5,false,2,3,W1W2,4
5,false,2,4,W2,4
5,false,2,5,W1,4
5,false,2,6,W1,4
5,false,2,7,W2,4
5,false,2,8,W1,4
5,false,2,9,W1W2,4
5,false,2,10,W1W2,4
5,false,2,11,W2,4
5,false,3,0,W1W2,25
5,false,3,1,W1,25
5,false,3,2,W1,25
5,false,3,3,W1W2,25
5,false,3,4,W2,25
5,false,3,5,W1,25
5,false,3,6,W1,25
5,false,3,7,W1W2,25
5,false,3,8,W1W2,25
5,false,3,9,W2,25
5,false,3,10,W2,25
5,false,3,11,W2,25
5,false,4,0,W1W2,16
5,false,4,1,W1W2,16
5,false,4,2,W1,16
5,false,4,3,W2,16
5,false,4,4,W1,16
5,false,4,5,W1,16
5,false,4,6,W2,16
5,false,4,7,W1W2,16
5,false,4,8,W1,16
5,false,4,9,W1W2,16
5,false,4,10,W2,16
5,false,4,11,W2,16
